SEA,LON,LAT,ID,CODE,도,분,도,분,LAT2,LON2,LAT2,LON2,LINE_CODE
JH,35˚0.34',128˚34.77',13,C,35,0.34,128,34.77,35.00566667,128.5795,35.00566667,128.5795,14
JH,35˚0.24',128˚34.77',14,C,35,0.24,128,34.77,35.004,128.5795,35.004,128.5795,14
JH,35˚0.13',128˚34.77',15,C,35,0.13,128,34.77,35.00216667,128.5795,35.00216667,128.5795,14
JH,35˚1.64',128˚34.9',1,C,35,1.64,128,34.9,35.02733333,128.5816667,35.02733333,128.5816667,15
JH,35˚1.53',128˚34.9',2,C,35,1.53,128,34.9,35.0255,128.5816667,35.0255,128.5816667,15
JH,35˚1.42',128˚34.9',3,C,35,1.42,128,34.9,35.02366667,128.5816667,35.02366667,128.5816667,15
JH,35˚1.32',128˚34.9',4,C,35,1.32,128,34.9,35.022,128.5816667,35.022,128.5816667,15
JH,35˚1.21',128˚34.9',5,C,35,1.21,128,34.9,35.02016667,128.5816667,35.02016667,128.5816667,15
JH,35˚1.1',128˚34.9',6,C,35,1.1,128,34.9,35.01833333,128.5816667,35.01833333,128.5816667,15
JH,35˚0.99',128˚34.9',7,C,35,0.99,128,34.9,35.0165,128.5816667,35.0165,128.5816667,15
JH,35˚0.88',128˚34.9',8,C,35,0.88,128,34.9,35.01466667,128.5816667,35.01466667,128.5816667,15
JH,35˚0.78',128˚34.9',9,C,35,0.78,128,34.9,35.013,128.5816667,35.013,128.5816667,15
JH,35˚0.67',128˚34.9',10,C,35,0.67,128,34.9,35.01116667,128.5816667,35.01116667,128.5816667,15
JH,35˚0.56',128˚34.9',11,C,35,0.56,128,34.9,35.00933333,128.5816667,35.00933333,128.5816667,15
JH,35˚0.45',128˚34.9',12,C,35,0.45,128,34.9,35.0075,128.5816667,35.0075,128.5816667,15
JH,35˚0.34',128˚34.9',13,C,35,0.34,128,34.9,35.00566667,128.5816667,35.00566667,128.5816667,15
JH,35˚0.24',128˚34.9',14,C,35,0.24,128,34.9,35.004,128.5816667,35.004,128.5816667,15
JH,35˚0.13',128˚34.9',15,C,35,0.13,128,34.9,35.00216667,128.5816667,35.00216667,128.5816667,15
GJ,35˚3.1',128˚44.66',1,A,35,3.1,128,44.66,35.05166667,128.7443333,35.05166667,128.7443333,1
GJ,35˚2.99',128˚44.66',2,A,35,2.99,128,44.66,35.04983333,128.7443333,35.04983333,128.7443333,1
